Gene Symbol	hsa:ENTREZ_GENE_ID
DDR1	hsa:780
RFC2	hsa:5982
HSPA6	hsa:3310
PAX8	hsa:7849
GUCA1A	hsa:2978
MIR5193	hsa:7318
THRA	hsa:7067
PTPN21	hsa:11099
CCL5	hsa:6352
CYP2E1	hsa:1571
EPHB3	hsa:2049
ESRRA	hsa:2101
CYP2A6	hsa:1548
SCARB1	hsa:949
TTLL12	hsa:23170
LINC00152	hsa:112597
WFDC2	hsa:10406
MAPK1	hsa:5594
ADAM32	hsa:203102
SPATA17	hsa:128153
PRR22	hsa:163154
PXK	hsa:54899
VPS18	hsa:57617
MSANTD3	hsa:91283
SLC46A1	hsa:113235
TIMD4	hsa:91937
SLC39A5	hsa:283375
ZDHHC11	hsa:79844
ATP6V1E2	hsa:90423
AFG3L1P	hsa:172
CILP2	hsa:148113
PIGX	hsa:54965
TMEM196	hsa:256130
SLC39A13	hsa:91252
BEST4	hsa:266675
AK9	hsa:221264
CORO6	hsa:84940
TMEM106A	hsa:113277
ALG10	hsa:84920
TTC39C	hsa:125488
NEXN	hsa:91624
C15orf40	hsa:123207
RAX2	hsa:84839
MFAP3	hsa:4238
EYA3	hsa:2140
GIMAP1	hsa:170575
KLK8	hsa:11202
CCDC65	hsa:85478
FAM122C	hsa:159091
CCDC11	hsa:220136
ARMCX4	hsa:100131755
RBBP6	hsa:5930
CENPBD1	hsa:92806
TRIOBP	hsa:11078
CATSPER1	hsa:117144
HOXD4	hsa:3233
GSC	hsa:145258
SP7	hsa:121340
PDE7A	hsa:5150
CNOT7	hsa:29883
CRYZL1	hsa:9946
PRSS33	hsa:260429
C19orf26	hsa:255057
MCMDC2	hsa:157777
TIRAP	hsa:114609
LEAP2	hsa:116842
MSI2	hsa:124540
SCIN	hsa:85477
CTCFL	hsa:140690
C4orf33	hsa:132321
ZNF333	hsa:84449
TVP23C	hsa:201158
RDH10	hsa:157506
SRSF12	hsa:135295
FAM71A	hsa:149647
GAPT	hsa:202309
FLJ30901	hsa:80274
ERICH5	hsa:203111
CCDC185	hsa:164127
ENTHD1	hsa:150350
TSSK3	hsa:81629
WFDC6	hsa:140870
CLEC12A	hsa:160364
BRF1	hsa:2972
C15orf27	hsa:123591
BACH1	hsa:571
CALML6	hsa:163688
NLRP5	hsa:126206
ODF4	hsa:146852
CLEC4F	hsa:165530
DEFB106A	hsa:245909
WFDC9	hsa:259240
NEDD1	hsa:121441
TTLL10	hsa:254173
CALR3	hsa:125972
C10orf25	hsa:220979
ETV3	hsa:2117
KLHL10	hsa:317719
