DLD3	compound	MAE1
GAD1	compound	ALD6
TRP5	compound	TRP3
GLT1	compound	GAD1
ARO7	compound	TYR1
PYC1	compound	PCK1
NA	compound	GFA1
DLD3	compound	PYC1
HOG1	inhibition#phosphorylation	SKO1
FKS3	compound	BGL2
PYK2	compound	CYR1
MLS1	compound	ACS2
CYR1	compound	PDE1
ILV1	compound	TRP5
MKK2	activation#phosphorylation	SLT2
SLG1	activation	ROM2
GAD1	compound	HFD1
ROM2	activation	RHO1
FKS3	compound	SPR1
PCK1	compound	PYK2
ADK2	compound	ADO1
NA	compound	FBP26
PKC1	activation#phosphorylation	BCK1
GRE2	compound	GLO1
ACS2	compound	ALD2
MLS1	compound	AGX1
SPR1	compound	SUC2
ALD6	compound	AMD2
PYK2	compound	ADK2
RHO1	activation	PKC1
MKK2	activation#phosphorylation	KDX1
BCK1	activation#phosphorylation	MKK2
TRP3	compound	ARO7
GFA1	compound	GLT1
RLM1	expression	GSC2
PYK2	compound	RPA43
SLT2	activation#phosphorylation	RLM1
SUC2	compound	NA
RLM1	expression	FKS3
FKS3	compound	EXG2
GLO1	compound	GLO4
PKC1	activation#phosphorylation#indirect effect	HOG1
SKO1	inhibition#expression	GRE2
AGX1	compound	ILV1
MAE1	compound	MLS1
GLO4	compound	DLD3
ADO1	compound	AAH1
