sce00010	Glycolysis / Gluconeogenesis
sce00020	Citrate cycle (TCA cycle)
sce00030	Pentose phosphate pathway
sce00040	Pentose and glucuronate interconversions
sce00051	Fructose and mannose metabolism
sce00052	Galactose metabolism
sce00500	Starch and sucrose metabolism
sce00520	Amino sugar and nucleotide sugar metabolism
sce00620	Pyruvate metabolism
sce00630	Glyoxylate and dicarboxylate metabolism
sce00640	Propanoate metabolism
sce00650	Butanoate metabolism
sce00660	C5-Branched dibasic acid metabolism
sce00562	Inositol phosphate metabolism
sce00190	Oxidative phosphorylation
sce00680	Methane metabolism
sce00910	Nitrogen metabolism
sce00920	Sulfur metabolism
sce00061	Fatty acid biosynthesis
sce00062	Fatty acid elongation
sce00071	Fatty acid degradation
sce00072	Synthesis and degradation of ketone bodies
sce00100	Steroid biosynthesis
sce00561	Glycerolipid metabolism
sce00564	Glycerophospholipid metabolism
sce00565	Ether lipid metabolism
sce00600	Sphingolipid metabolism
sce00590	Arachidonic acid metabolism
sce00592	alpha-Linolenic acid metabolism
sce01040	Biosynthesis of unsaturated fatty acids
sce00230	Purine metabolism
sce00240	Pyrimidine metabolism
sce00250	Alanine, aspartate and glutamate metabolism
sce00260	Glycine, serine and threonine metabolism
sce00270	Cysteine and methionine metabolism
sce00280	Valine, leucine and isoleucine degradation
sce00290	Valine, leucine and isoleucine biosynthesis
sce00300	Lysine biosynthesis
sce00310	Lysine degradation
sce00220	Arginine biosynthesis
sce00330	Arginine and proline metabolism
sce00340	Histidine metabolism
sce00350	Tyrosine metabolism
sce00360	Phenylalanine metabolism
sce00380	Tryptophan metabolism
sce00400	Phenylalanine, tyrosine and tryptophan biosynthesis
sce00410	beta-Alanine metabolism
sce00430	Taurine and hypotaurine metabolism
sce00440	Phosphonate and phosphinate metabolism
sce00450	Selenocompound metabolism
sce00460	Cyanoamino acid metabolism
sce00480	Glutathione metabolism
sce00510	N-Glycan biosynthesis
sce00513	Various types of N-glycan biosynthesis
sce00515	Mannose type O-glycan biosynthesis
sce00514	Other types of O-glycan biosynthesis
sce00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
sce00511	Other glycan degradation
sce00730	Thiamine metabolism
sce00740	Riboflavin metabolism
sce00750	Vitamin B6 metabolism
sce00760	Nicotinate and nicotinamide metabolism
sce00770	Pantothenate and CoA biosynthesis
sce00780	Biotin metabolism
sce00785	Lipoic acid metabolism
sce00790	Folate biosynthesis
sce00670	One carbon pool by folate
sce00860	Porphyrin and chlorophyll metabolism
sce00130	Ubiquinone and other terpenoid-quinone biosynthesis
sce00900	Terpenoid backbone biosynthesis
sce00909	Sesquiterpenoid and triterpenoid biosynthesis
sce00332	Carbapenem biosynthesis
sce00261	Monobactam biosynthesis
sce00791	Atrazine degradation
sce03020	RNA polymerase
sce03022	Basal transcription factors
sce03040	Spliceosome
sce03010	Ribosome
sce00970	Aminoacyl-tRNA biosynthesis
sce03013	RNA transport
sce03015	mRNA surveillance pathway
sce03008	Ribosome biogenesis in eukaryotes
sce03060	Protein export
sce04141	Protein processing in endoplasmic reticulum
sce04130	SNARE interactions in vesicular transport
sce04120	Ubiquitin mediated proteolysis
sce04122	Sulfur relay system
sce03050	Proteasome
sce03018	RNA degradation
sce03030	DNA replication
sce03410	Base excision repair
sce03420	Nucleotide excision repair
sce03430	Mismatch repair
sce03440	Homologous recombination
sce03450	Non-homologous end-joining
sce02010	ABC transporters
sce04011	MAPK signaling pathway - yeast
sce04392	Hippo signaling pathway -multiple species
sce04070	Phosphatidylinositol signaling system
sce04144	Endocytosis
sce04145	Phagosome
sce04146	Peroxisome
sce04138	Autophagy - yeast
sce04136	Autophagy - other
sce04139	Mitophagy - yeast
sce04111	Cell cycle - yeast
sce04113	Meiosis - yeast
sce04213	Longevity regulating pathway - multiple species
sce04933	AGE-RAGE signaling pathway in diabetic complications
