FOX2	sce:YKR009C
NA	sce:YDL157C
PCL6	sce:YER059W
PKP2	sce:YGL059W
PHO8	sce:YDR481C
DAT1	sce:YML113W
COA1	sce:YIL157C
NA	sce:YPR003C
AIF1	sce:YNR074C
NA	sce:YLR154C-H
PRP40	sce:YKL012W
MRX5	sce:YJL147C
RRI1	sce:YDL216C
NA	sce:YNL320W
STE20	sce:YHL007C
GRE1	sce:YPL223C
MRPL31	sce:YKL138C
SPC98	sce:YNL126W
OAR1	sce:YKL055C
AMD1	sce:YML035C
SBH1	sce:YER087C-B
POT1	sce:YIL160C
NA	sce:YLR050C
CYC2	sce:YOR037W
COQ10	sce:YOL008W
NA	sce:YOR072W-B
VIK1	sce:YPL253C
STP4	sce:YDL048C
EMC10	sce:YDR056C
SAL1	sce:YNL083W
SRB8	sce:YCR081W
STE7	sce:YDL159W
NA	sce:YCR024C-B
PEP4	sce:YPL154C
DAS2	sce:YDR020C
SNF2	sce:YOR290C
FOL2	sce:YGR267C
RAP1	sce:YNL216W
MOB2	sce:YFL034C-B
SPF1	sce:YEL031W
NA	sce:YBR238C
SEC53	sce:YFL045C
EDC1	sce:YGL222C
MRS1	sce:YIR021W
SPO13	sce:YHR014W
YEA6	sce:YEL006W
ARP2	sce:YDL029W
DUS3	sce:YLR401C
RPS17B	sce:YDR447C
NA	sce:YOR192C-C
CHO1	sce:YER026C
RPS30A	sce:YLR287C-A
MIA40	sce:YKL195W
MKC7	sce:YDR144C
LRS4	sce:YDR439W
ARA1	sce:YBR149W
BOI2	sce:YER114C
RKR1	sce:YMR247C
PDS5	sce:YMR076C
RSC1	sce:YGR056W
DEP1	sce:YAL013W
PDH1	sce:YPR002W
ALE1	sce:YOR175C
NRP1	sce:YDL167C
RMT2	sce:YDR465C
ECM25	sce:YJL201W
VPS3	sce:YDR495C
PLM2	sce:YDR501W
ETP1	sce:YHL010C
SPO12	sce:YHR152W
EDC2	sce:YER035W
LEU5	sce:YHR002W
ULP1	sce:YPL020C
CTS1	sce:YLR286C
BLI1	sce:YKL061W
NA	sce:YHR131C
ATG36	sce:YJL185C
NA	sce:YMR317W
KGD1	sce:YIL125W
VPS28	sce:YPL065W
NA	sce:YGR130C
KNH1	sce:YDL049C
ECM2	sce:YBR065C
EAF6	sce:YJR082C
RGM1	sce:YMR182C
NA	sce:YPL264C
NA	sce:YPL199C
TWF1	sce:YGR080W
NA	sce:YLR125W
PUS4	sce:YNL292W
MST28	sce:YAR033W
NA	sce:YKL063C
DOT5	sce:YIL010W
DAM1	sce:YGR113W
PDR8	sce:YLR266C
MNN9	sce:YPL050C
OST6	sce:YML019W
TPK3	sce:YKL166C
HOM6	sce:YJR139C
DBP6	sce:YNR038W
HAL5	sce:YJL165C
NA	sce:YFL012W
NA	sce:YDL086W
PAU14	sce:YIL176C
CWP1	sce:YKL096W
PER33	sce:YLR064W
AIM4	sce:YBR194W
GIM4	sce:YEL003W
MSC2	sce:YDR205W
NA	sce:YKL075C
AIM18	sce:YHR198C
NA	sce:YGL138C
EFR3	sce:YMR212C
HOL1	sce:YNR055C
SSU72	sce:YNL222W
PUF2	sce:YPR042C
NA	sce:YLR149C
FSF1	sce:YOR271C
RIX1	sce:YHR197W
FUN19	sce:YAL034C
LPX1	sce:YOR084W
SCY1	sce:YGL083W
MTQ2	sce:YDR140W
SKY1	sce:YMR216C
MHP1	sce:YJL042W
TRS31	sce:YDR472W
UME6	sce:YDR207C
RPN2	sce:YIL075C
NMA2	sce:YGR010W
MNN10	sce:YDR245W
PRP3	sce:YDR473C
TUF1	sce:YOR187W
VPS60	sce:YDR486C
AIM34	sce:YMR003W
GPG1	sce:YGL121C
MNN5	sce:YJL186W
NA	sce:YBR285W
YAP7	sce:YOL028C
ERG8	sce:YMR220W
NUP60	sce:YAR002W
ERB1	sce:YMR049C
VPS5	sce:YOR069W
PEX29	sce:YDR479C
KAE1	sce:YKR038C
ISR1	sce:YPR106W
SHE1	sce:YBL031W
UBP2	sce:YOR124C
ATG9	sce:YDL149W
IPT1	sce:YDR072C
KAR9	sce:YPL269W
RMD9	sce:YGL107C
CLD1	sce:YGR110W
NA	sce:YOR394C-A
MID1	sce:YNL291C
ICS2	sce:YBR157C
ACP1	sce:YKL192C
DID2	sce:YKR035W-A
NA	sce:YJL047C-A
NA	sce:YLR283W
TDA1	sce:YMR291W
PCD1	sce:YLR151C
SEY1	sce:YOR165W
IRE1	sce:YHR079C
ADD37	sce:YMR184W
POP8	sce:YBL018C
NA	sce:YNL095C
ELP4	sce:YPL101W
ASN2	sce:YGR124W
SSE2	sce:YBR169C
NAT4	sce:YMR069W
DOS2	sce:YDR068W
RGD1	sce:YBR260C
PSP2	sce:YML017W
PKH3	sce:YDR466W
NA	sce:YCL068C
SWP82	sce:YFL049W
MRP49	sce:YKL167C
DSE3	sce:YOR264W
YPS6	sce:YIR039C
RPS29B	sce:YDL061C
SLD2	sce:YKL108W
APC2	sce:YLR127C
SMF1	sce:YOL122C
CBT1	sce:YKL208W
NA	sce:YPR117W
DBP1	sce:YPL119C
NA	sce:YDL177C
REF2	sce:YDR195W
PIC2	sce:YER053C
WSC3	sce:YOL105C
PIN2	sce:YOR104W
LEU2	sce:YCL018W
ALG1	sce:YBR110W
EUG1	sce:YDR518W
NA	sce:YDR210W
RAV1	sce:YJR033C
ALT1	sce:YLR089C
NA	sce:YBL036C
ESC2	sce:YDR363W
RER2	sce:YBR002C
TAF7	sce:YMR227C
PHS1	sce:YJL097W
DCP2	sce:YNL118C
NA	sce:YIL161W
SPB1	sce:YCL054W
SOK1	sce:YDR006C
NA	sce:YOL019W-A
NA	sce:YOL162W
THI22	sce:YPR121W
NTO1	sce:YPR031W
ACT1	sce:YFL039C
RGD2	sce:YFL047W
GPI8	sce:YDR331W
NA	sce:YGR174W-A
SLF1	sce:YDR515W
